Time,Retweets,Likes,,
16:22:14,152,2503,,
16:22:45,152,2506,,
16:28:52,152,2533,,
16:29:23,153,2536,,
16:29:54,153,2536,,
16:30:48,153,2538,,
16:31:19,153,2534,,
16:40:58,155,2567,,
16:41:29,155,2568,,
17:17:51,161,2669,,
17:18:22,161,2670,,
17:18:53,161,2671,,
17:19:23,161,2673,,
17:19:54,161,2674,,
17:20:25,161,2677,,
17:20:56,161,2679,,
17:21:27,161,2680,,
17:21:57,161,2680,,
17:22:28,161,2680,,
17:22:59,161,2680,,
17:23:30,161,2680,,
17:24:00,161,2681,,
17:24:31,161,2681,,
17:25:02,161,2686,,
17:25:33,161,2687,,
17:26:04,161,2689,,
17:26:34,161,2689,,
17:27:05,161,2689,,
17:27:36,161,2692,,
17:28:06,161,2693,,
17:28:37,161,2695,,
17:29:08,161,2698,,
17:29:39,161,2699,,
17:30:09,161,2700,,
17:30:40,161,2701,,
17:31:11,161,2702,,
17:31:41,162,2704,,
17:32:12,162,2704,,
17:32:43,162,2707,,
17:33:13,162,2709,,
17:33:44,162,2710,,
17:38:28,162,2729,,
17:40:40,163,2735,,
17:41:11,163,2737,,
17:41:41,163,2738,,
17:42:12,163,2738,,
17:45:28,163,2749,,
17:46:29,163,2753,,
17:47:30,163,2755,,
17:48:31,163,2757,,
17:49:17,163,2758,,
17:49:28,163,2758,,
17:49:38,163,2758,,
17:50:58,163,2764,,
17:51:58,164,2770,,
17:52:59,164,2772,,
17:54:00,164,2773,,
17:55:01,164,2773,,
17:56:01,164,2775,,
17:57:02,164,2780,,
17:58:03,164,2781,,
17:59:03,164,2787,,
18:00:04,164,2787,,
18:01:05,164,2788,,
18:02:06,164,2790,,
18:03:07,164,2794,,
18:04:07,164,2797,,
18:05:08,164,2802,,
18:06:09,164,2806,,
18:07:10,164,2806,,
18:08:10,164,2808,,
18:09:11,164,2810,,
18:10:11,164,2814,,
18:11:12,164,2818,,
18:12:13,164,2822,,
18:13:14,165,2829,,
18:14:14,165,2830,,
18:15:15,165,2830,,
18:16:16,165,2833,,
18:17:16,165,2834,,
18:18:17,165,2839,,
18:19:18,165,2840,,
18:20:18,166,2844,,
18:21:19,166,2850,,
18:22:20,166,2851,,
18:23:20,166,2853,,
18:24:21,167,2857,,
18:25:22,167,2859,,
18:26:22,168,2865,,
18:27:23,168,2866,,
18:28:24,170,2868,,
18:29:25,170,2872,,
18:30:25,170,2873,,
18:31:26,170,2874,,
18:32:27,170,2877,,
18:33:27,171,2880,,
18:34:28,171,2885,,
18:35:29,173,2887,,
18:36:59,174,2890,,
18:38:12,175,2892,,
18:40:19,175,2897,,
18:41:44,175,2902,,
18:54:01,175,2942,,
18:55:01,175,2945,,
18:56:02,177,2949,,
18:57:03,178,2950,,
18:58:04,178,2954,,
18:59:04,179,2954,,
19:00:05,179,2957,,
19:01:06,179,2962,,
19:02:06,180,2966,,
19:03:07,181,2967,,
19:04:08,181,2969,,
19:05:08,181,2970,,
19:06:09,181,2972,,
19:07:10,181,2973,,
19:08:10,181,2973,,
19:41:30,182,3042,,
21:08:40,194,3216,,
03:09:31,218,3743,,
